timestamp,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-ylint-prod-01"", mode=~""idle""}[1m])) by (mode, hostname)","node_load1{hostname=~""bj3-rd-ylint-prod-01""}","node_load5{hostname=~""bj3-rd-ylint-prod-01""}","node_load15{hostname=~""bj3-rd-ylint-prod-01""}","(1-(node_memory_MemAvailable_bytes{hostname=~""bj3-rd-ylint-prod-01""}/node_memory_MemTotal_bytes{hostname=~""bj3-rd-ylint-prod-01""}))*100","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""})","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""})","irate(node_disk_reads_completed_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_writes_completed_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_read_time_seconds_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_write_time_seconds_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_read_bytes_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_written_bytes_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","node_netstat_Tcp_CurrEstab{hostname=~""bj3-rd-ylint-prod-01""}","node_sockstat_TCP_tw{hostname=~""bj3-rd-ylint-prod-01""}","irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj3-rd-ylint-prod-01""}[1m])","node_sockstat_TCP_alloc{hostname=~""bj3-rd-ylint-prod-01""}","node_sockstat_TCP_inuse{hostname=~""bj3-rd-ylint-prod-01""}","probe_duration_seconds{hostname=~""bj3-rd-ylint-prod-01""}","irate(node_network_receive_bytes_total{hostname=~""bj3-rd-ylint-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","irate(node_network_transmit_bytes_total{hostname=~""bj3-rd-ylint-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
1694613612,0.11199999998013166,0.23,0.25,0.3,28.12535998156894,0.6233523817225664,0.45702170648649143,0,3.6,0,0.0018000000001241764,0,53248,320,197,9.8,3.6,369,299,0.000497899,15507913.6,697363.7333333333
1694613732,0.02400000008443992,0.21,0.21,0.28,27.091273265791838,0.6233548116946587,0.45684620183596414,0.5333333333333333,1.1333333333333333,0.0005333333334419877,0.000533333335382243,6280.533333333334,14745.6,276,179,1.6,3.2,325,257,0.000398302,18860353.066666666,541722.6666666666
1694613852,0.026916666825612445,0.15,0.23,0.28,28.486769274023338,0.6234239201009624,0.45701155971511,2.2,4,0.0021999999997206034,0.002533333329483867,9011.2,28672,268,181,1.7333333333333334,3.1333333333333333,317,252,0.001480953,23246678.933333334,585863.4666666667
1694613972,0.027333333343267485,0.19,0.24,0.28,28.87193735002802,0.6234269332663569,0.4572309342301395,0,1.9333333333333333,0,0.0009333333310981591,0,33587.2,277,181,1.7333333333333334,3.1333333333333333,326,257,0.000411088,18315582.933333334,533348.8
1694614092,0.2856666664282481,0.63,0.34,0.31,28.29865144802891,0.6234288772440306,0.45746642420559835,0,2.4,0,0.0019333333320294818,0,17749.333333333332,272,110,1.5333333333333334,3.2,321,255,0.000348461,21554818.133333333,617315.2
1694614212,0.1550833333283662,1.69,0.9,0.52,28.667870510114625,0.6234570649203008,0.45767802198389096,1.6666666666666667,1.2,0.0013333333345750967,0.0006000000052154064,23483.733333333334,14745.6,273,108,1.6,3.1333333333333333,322,255,0.000365501,24162459.733333334,598154.1333333333
1694614332,0.0294166666766007,0.7,0.82,0.55,28.126250783417518,0.6234597864890441,0.4576946161021759,0,3.1333333333333333,0,0.0032666666666045785,0,33860.26666666667,271,171,1.8,3,320,254,0.000344376,22645360.533333335,585268.2666666667
1694614452,0.04616666672130432,0.72,0.75,0.55,28.78746981035927,0.6235295752875337,0.457890660406995,0,1.0666666666666667,0,0.0006000000052154064,0,13926.4,274,111,1.4666666666666666,3.533333333333333,323,256,0.000365908,18471168.533333335,594845.3333333334
1694614572,0.15708333353201542,0.63,0.65,0.53,37.059114098781876,0.6235321024585097,0.4578256753360428,0.06666666666666667,2.8,0.0000666666659526527,0.0006666666672875484,273.06666666666666,20753.066666666666,312,122,5.133333333333334,3.4,361,293,0.000325504,11231737.6,584339.7333333333
1694614692,0.040749999880790644,0.23,0.53,0.5,27.258414538667143,0.6235341436350672,0.4579369526290653,0,2.6666666666666665,0,0.001066666670764486,0,28672,276,172,5.333333333333333,3.2666666666666666,325,255,0.000372736,21796258.666666668,619497.6
1694614812,0.02441666697462408,0.17,0.41,0.46,26.79916347605037,0.6235364764082758,0.4580782187087814,1.7333333333333334,3.3333333333333335,0.0017333333341715237,0.0024666666674117246,7099.733333333334,33860.26666666667,271,163,1.6,3.1333333333333333,321,254,0.000381195,17267561.066666666,512098.13333333336
1694614932,0.04866666657229257,0.72,0.5,0.49,28.31790741127613,0.6235393923747865,0.4582199615084669,0,1.2666666666666666,0,0.0006666666672875484,0,27579.733333333334,272,173,1.7333333333333334,3.2666666666666666,321,255,0.000359554,15657131.2,706400.5333333333
1694615052,0.042416666572292705,0.41,0.45,0.48,26.64000281151707,0.6236049044223937,0.458304633563847,0,2.7333333333333334,0,0.0021333333337679506,0,18295.466666666667,274,171,1.8666666666666667,3.2666666666666666,323,256,0.000351831,20401125.333333332,579764.2666666667
1694615172,0.0295000000546376,0.41,0.43,0.47,28.09811120721466,0.623611416747601,0.45814380840018254,0.06666666666666667,1.2666666666666666,0,0.0006666666672875484,273.06666666666666,15291.733333333334,276,100,1.4666666666666666,3.2,325,257,0.00034688,19575046.933333334,537492.8
